wallet,iusdc,sicx,usds
hxfb7022985b4416c3283dbef7dfa09e9b85821a4c,0,0,0
hxabca7ae72e91841d91d6ead1f6ac19c8864d4cb6,0,0,0
hxa2be2ff5a3de9271908867406476c62e9704f200,0,0,0
hxdab9b399211203da9ecf2a745d1d4b5a37568b57,0,0,0
hxff77a2bea7686e34a8cb3c1360894af72b3337f4,0,0,0
hx797bbc98ab9ca5104c49251d1bbee579f195ef33,0,0,0
hxd4a207325e90d059d4082b4b5640c2071bde13b3,0,820000000000000000,0
hx44f6021b4d098926d0c95c46d724fc01e3470537,0,1660000000000000000,0
hx402dc7bc80fd944acd3023ef7250befe02386d41,0,0,0
hx44c5caa872602551b78dfb881caf57342a799f1c,0,0,0
hxcf094241cb2b58001ca4a14351ef5e073986d4a0,0,5000000000000000000,0
hx433c198d1a1efc5ecf7542f6b843ea03c1edcf66,0,120940000000000000000,0
hx0011213f42f15200dc0b1ee47e157e4f58b4ac6b,0,0,0
hx36ad1f2b280b28bc525aa52649cf7f9898d1ce0a,0,0,0
hx31215f3470351eb7d8189bce8c553978bf601512,0,0,0
hxec001b71b9eee982c6507974f972760f4000f187,0,0,0
hx4cae874005faff2e033c824ba62b1829d42075f7,1035530000000000,0,0
hx9f9015a694fc42af3b70182a04a14f8b4c5f43c3,0,0,0
hx532932e046887e844c29fbc1a296763fb543d7cd,0,0,1801700000000000000000
hxdf3541fb141c982ee20a48495bdd8ef61dfb441c,0,0,0
hx845b2f976f3140db695195ba65dddf4ef49940a4,0,0,0
hxcd62c3b812e21025451831f1d2239776c28cd544,0,0,0
hx4fbb26fc41bbae48a637f9a7d438f3b4037d3603,0,318570000000000000000,0
hx610154bbf374f962664b350dc338cb83f4289324,50000000000,0,0
hx88d95e448546efb273a4acf1b55dcfc51e49ad36,0,0,0
hx80237a6bdecb6bacd4027407fcdac239a822e027,1736590000000000,0,0
hxd1b0e9761465882df64913da61dd9086215d5c9a,0,0,0
hxacb6cfc341574141d1d455769885f6e4ff56795d,0,5850000000000000000,0
hx587e73d9a05aa7ae7fa97d3090df8b46f89e82f9,0,0,49050000000000000000
hx5df047bac5f1283508e5efd57e09beefd8c9b915,0,0,0
hxe7d9234348665a612d61d35c99a4f5050d6c504d,0,0,0
hxd399fc0f4ff3fdc9a2392e6616b2de0f4bf2e82b,0,1530000000000000000,0
hx8107ca0ebc0e7eb23b58e5d77f589bbe70ad4cb0,0,760000000000000000,0
hxe86c05fbfbee932aad9e131edde7d601e69d2ad4,0,11900000000000000000,0
hxe2933ce94a53a33b0aed84a567ceb695fa549953,10000000000,120000000000000000,0
hx2e0d0a200b532d3dbba5129d57348618af496a4c,0,0,0
hxed3ddf62033e05297a078e34b3f7e050ecf4472b,0,0,0
hx0df78124121c8397447aa37d9fb3e6be4366c76b,19020000000000,192240000000000000000,0
hxf428176f94d2c5cee9596a4ad328edea0ffd56b0,0,189240000000000000000,0
hxf45ccea365d29ceb50d9427f3ac8542d9886d517,0,35830000000000000000,0
hx242cc5b8a052179d907c12441e5c420754f10e5b,0,0,0
hx73db960180c172d4644fefe5db48225a425e5642,0,215880000000000000000,0
hx24c432585b86e3112a1cf61f250cd9b487f59ff2,0,0,0
hxe408a0317d58f0c91263b9116987f5cf10499678,1550000000000,0,0
hx070b1f12875664f9f402d9b12426f41b45dc1aa5,0,73800000000000000000,0
hxc95299bd5fbb8e10f9e5f0d0e7edbb3bbb3f2e40,37800000000000,0,0
hx9041d988a6cc1466b2db13dff186d0a7c48d6b6b,0,0,0
hx6a417a92c892321c6af82e00225d23014a007d90,0,0,0
hx512c102842983fba0d68e56879a918a19e69c31c,0,193220000000000000000,0
hxb9f6d06c56c19ea40dea55949a32fbdf7be2a658,0,0,0
hx138b4487610cedd9e02548ccdaa61bf5103343ca,0,9346370000000000000000,0
hx9e9ca0fff892b1d25d046d7664988e35d4e18026,0,0,0
hx89e1ac69cf5c0a1a66843147be21dffb8e387aa9,0,0,0
hxef9479055de0d27305e41d184bc4f5db322dff39,0,0,0
hx4b331384fa19e8ffc30c8c343e7ce06a87b68f8e,176490000000000,0,0
hx41ee290733354939dfce12b4f5a0107226788b05,0,0,0
hxb36a83f51658722b717f3c7972eb6e3d65de0a17,0,14500000000000000000,0
hx6de349dbe155a21ee96dcf194d65f67f50ad2a74,0,0,0
hxc66f27b8cca2384e7a476b922daf2325b2b1e913,0,0,0
hxb89902854d3b78c02431237e2607f45e39d32547,0,0,0
hxc8b6779e63842f33c15054ec328e067fa1934c7e,0,0,0
